Date,Actual,Predicted,Province
09/07/2023,0,4.585968494,province
16/07/2023,0,5.218537807,province
23/07/2023,0.857142857,5.163902283,province
30/07/2023,3,0.332327455,province
06/08/2023,3,0.445865721,province
13/08/2023,3,3.195894957,province
20/08/2023,6.142857143,10.52640724,province
27/08/2023,10,9.602190018,province
03/09/2023,10,7.901168823,province
10/09/2023,12.14285714,10.85664749,province
17/09/2023,18,15.09477997,province
24/09/2023,20,15.08769894,province
01/10/2023,20.85714286,17.27323723,province
08/10/2023,17.71428571,21.57627296,province
15/10/2023,19,22.37932014,province
22/10/2023,17.28571429,16.61325645,province
29/10/2023,31,14.71494675,province
05/11/2023,76,14.7642498,province
12/11/2023,75.71428571,13.53807926,province
19/11/2023,74,23.8243866,province
26/11/2023,70,65.71831512,province
03/12/2023,80,61.60281754,province
10/12/2023,80,53.10658646,province
17/12/2023,20,44.87511063,province
24/12/2023,10,52.37915802,province
31/12/2023,10,55.58975601,province
07/01/2024,,10.2360256,province
