Date,Actual,Predicted,Province
09/07/2023,3,2.707386494,province
16/07/2023,3,4.259293079,province
23/07/2023,3,6.249248028,province
30/07/2023,3,1.945793509,province
06/08/2023,3,2.480709791,province
13/08/2023,3,2.735962391,province
20/08/2023,0,7.250946522,province
27/08/2023,0,7.407920837,province
03/09/2023,0,6.829897881,province
10/09/2023,0,1.724017859,province
17/09/2023,0,2.764870405,province
24/09/2023,0,5.085572243,province
01/10/2023,0,5.497152805,province
08/10/2023,0,5.980643272,province
15/10/2023,0,5.392314434,province
22/10/2023,0,3.201046944,province
29/10/2023,0,3.318652391,province
05/11/2023,0,2.960392952,province
12/11/2023,3.571428571,3.968008757,province
19/11/2023,5,1.039652824,province
26/11/2023,5,0.859250009,province
03/12/2023,5,4.099653244,province
10/12/2023,5,4.779240608,province
17/12/2023,5,4.982803822,province
24/12/2023,3.571428571,5.962313652,province
31/12/2023,0,5.955707073,province
07/01/2024,,4.500551955,province
