Date,Actual,Predicted,Province
09/07/2023,75.14285714,53.67895889,province
16/07/2023,64,51.47325897,province
23/07/2023,51.28571429,52.05970383,province
30/07/2023,38,83.38173676,province
06/08/2023,30,61.67627716,province
13/08/2023,30,35.71914291,province
20/08/2023,15.85714286,21.98676109,province
27/08/2023,0,16.0735054,province
03/09/2023,0,14.13921547,province
10/09/2023,0,0,province
17/09/2023,0,0,province
24/09/2023,0,0,province
01/10/2023,0,1.704052448,province
08/10/2023,0,3.539319754,province
15/10/2023,0,6.04234314,province
22/10/2023,0,2.959807873,province
29/10/2023,0,5.548080921,province
05/11/2023,0,5.580407143,province
12/11/2023,0,6.365762234,province
19/11/2023,0,4.637822151,province
26/11/2023,0,6.947128773,province
03/12/2023,0,7.622960091,province
10/12/2023,0,7.558830738,province
17/12/2023,0,7.31589222,province
24/12/2023,0,7.380746841,province
31/12/2023,0,6.557840824,province
07/01/2024,,4.797949443,province
