Date,Actual,Predicted,Province
2023-07-09,0.0,0.0,province
2023-07-16,0.0,0.1773758828639984,province
2023-07-23,0.857142857,2.010979652404785,province
2023-07-30,3.0,2.3905956745147705,province
2023-08-06,3.0,2.1410906314849854,province
2023-08-13,3.0,6.736854553222656,province
2023-08-20,6.142857143,11.729585647583008,province
2023-08-27,10.0,11.105021476745605,province
2023-09-03,10.0,7.007780075073242,province
2023-09-10,12.14285714,6.747125625610352,province
2023-09-17,18.0,8.66845989227295,province
2023-09-24,20.0,11.556344032287598,province
2023-10-01,20.85714286,13.505606651306152,province
2023-10-08,17.71428571,13.752860069274902,province
2023-10-15,19.0,12.351740837097168,province
2023-10-22,17.28571429,13.773568153381348,province
2023-10-29,31.0,13.909079551696777,province
2023-11-05,76.0,13.077489852905273,province
2023-11-12,75.71428571,10.359728813171387,province
2023-11-19,74.0,8.34025764465332,province
2023-11-26,70.0,8.683228492736816,province
2023-12-03,80.0,6.045559406280518,province
2023-12-10,80.0,4.202270984649658,province
2023-12-17,20.0,9.393659591674805,province
2023-12-24,10.0,15.306493759155273,province
2023-12-31,10.0,19.35413360595703,province
2024-01-07,,3.618534453213215,province
