Date,Actual,Predicted,Province
2023-07-09,95.428571425,80.97522473335266,Central Luzon
2023-07-16,98.285714281,88.74846124649048,Central Luzon
2023-07-23,87.000000004,87.55411577224731,Central Luzon
2023-07-30,82.428571423,102.7689938545227,Central Luzon
2023-08-06,122.14285714,159.8509759902954,Central Luzon
2023-08-13,119.000000004,158.71889066696167,Central Luzon
2023-08-20,98.428571431,145.47197723388672,Central Luzon
2023-08-27,79.28571429,129.7679271697998,Central Luzon
2023-09-03,69.0,140.80320739746094,Central Luzon
2023-09-10,70.42857143,140.15282535552979,Central Luzon
2023-09-17,104.85714286,146.391375541687,Central Luzon
2023-09-24,87.285714286,129.9270315170288,Central Luzon
2023-10-01,95.42857143,122.23230075836182,Central Luzon
2023-10-08,97.71428571,112.84590673446655,Central Luzon
2023-10-15,99.0,133.9924464225769,Central Luzon
2023-10-22,97.28571429,123.19871711730957,Central Luzon
2023-10-29,82.0,110.7029595375061,Central Luzon
2023-11-05,99.0,102.900643825531,Central Luzon
2023-11-12,103.142857138,99.6796326637268,Central Luzon
2023-11-19,104.571428576,94.46769905090332,Central Luzon
2023-11-26,101.0,80.13943457603455,Central Luzon
2023-12-03,111.0,75.64316892623901,Central Luzon
2023-12-10,111.0,69.00047677755356,Central Luzon
2023-12-17,48.428571429,71.8835779428482,Central Luzon
2023-12-24,36.571428571,75.03938829898834,Central Luzon
2023-12-31,33.0,86.11452782154083,Central Luzon
