Date,Actual,Predicted,Province
09/07/2023,0,7.274451256,province
16/07/2023,0,6.279946804,province
23/07/2023,0,6.834063053,province
30/07/2023,0,6.082754612,province
06/08/2023,0,3.89021492,province
13/08/2023,0,3.318762779,province
20/08/2023,1.714285714,5.02893734,province
27/08/2023,2,8.196473122,province
03/09/2023,2,9.090346336,province
10/09/2023,2,9.148396492,province
17/09/2023,2.285714286,9.184853554,province
24/09/2023,8.285714286,9.968774796,province
01/10/2023,11.71428571,9.287313461,province
08/10/2023,12,9.574088097,province
15/10/2023,12,14.44063091,province
22/10/2023,12,18.11567879,province
29/10/2023,14,16.93600273,province
05/11/2023,14,16.48677063,province
12/11/2023,14,15.06674862,province
19/11/2023,21.28571429,16.951334,province
26/11/2023,23,14.57202911,province
03/12/2023,23,14.79616165,province
10/12/2023,23,21.97476196,province
17/12/2023,23,25.82567787,province
24/12/2023,23,24.64234734,province
31/12/2023,23,21.83785629,province
07/01/2024,,15.41097276,province
