Date,Actual,Predicted,Province
09/07/2023,75.14285714,0,province
16/07/2023,64,0,province
23/07/2023,51.28571429,0.30670923,province
30/07/2023,38,0.606077731,province
06/08/2023,30,0.515478551,province
13/08/2023,30,0.807752967,province
20/08/2023,15.85714286,2.564430952,province
27/08/2023,0,3.094990969,province
03/09/2023,0,2.951019526,province
10/09/2023,0,3.113307714,province
17/09/2023,0,4.609876633,province
24/09/2023,0,5.513809204,province
01/10/2023,0,6.041415691,province
08/10/2023,0,3.298680544,province
15/10/2023,0,1.555805683,province
22/10/2023,0,3.815948963,province
29/10/2023,0,2.980814457,province
05/11/2023,0,1.232219696,province
12/11/2023,0,0,province
19/11/2023,0,0,province
26/11/2023,0,0,province
03/12/2023,0,1.354891896,province
10/12/2023,0,2.792411566,province
17/12/2023,0,3.714431286,province
24/12/2023,0,3.142898321,province
31/12/2023,0,4.480416775,province
07/01/2024,,1.280216454,province
