Date,Actual,Predicted,Province
2023-07-09,3.0,3.6467106342315674,province
2023-07-16,3.0,6.467639446258545,province
2023-07-23,3.0,5.448083877563477,province
2023-07-30,3.0,5.965753555297852,province
2023-08-06,3.0,11.418304443359375,province
2023-08-13,3.0,13.198772430419922,province
2023-08-20,0.0,12.663396835327148,province
2023-08-27,0.0,10.200864791870117,province
2023-09-03,0.0,9.708993911743164,province
2023-09-10,0.0,10.682433128356934,province
2023-09-17,0.0,12.488494873046875,province
2023-09-24,0.0,11.91378402709961,province
2023-10-01,0.0,12.424663543701172,province
2023-10-08,0.0,11.497936248779297,province
2023-10-15,0.0,13.67996597290039,province
2023-10-22,0.0,12.773956298828125,province
2023-10-29,0.0,8.520219802856445,province
2023-11-05,0.0,7.117225646972656,province
2023-11-12,3.571428571,6.483108043670654,province
2023-11-19,5.0,7.638503074645996,province
2023-11-26,5.0,8.064841270446777,province
2023-12-03,5.0,5.668302536010742,province
2023-12-10,5.0,6.294966697692871,province
2023-12-17,5.0,8.110183715820312,province
2023-12-24,3.571428571,9.035974502563477,province
2023-12-31,0.0,9.367894172668457,province
2024-01-07,,5.968425139784813,province
