Date,Actual,Predicted,Province
09/07/2023,0,1.399759173,province
16/07/2023,0,1.980707288,province
23/07/2023,0,3.303805828,province
30/07/2023,0,4.368563175,province
06/08/2023,0,4.49492836,province
13/08/2023,0,4.122854233,province
20/08/2023,1.714285714,4.17192173,province
27/08/2023,2,4.25998354,province
03/09/2023,2,4.956730366,province
10/09/2023,2,4.563847542,province
17/09/2023,2.285714286,4.15857172,province
24/09/2023,8.285714286,4.517511845,province
01/10/2023,11.71428571,3.288051128,province
08/10/2023,12,4.164062023,province
15/10/2023,12,4.723914623,province
22/10/2023,12,4.460482121,province
29/10/2023,14,5.232389927,province
05/11/2023,14,6.090171814,province
12/11/2023,14,5.888143539,province
19/11/2023,21.28571429,7.015370846,province
26/11/2023,23,6.871882439,province
03/12/2023,23,6.817750931,province
10/12/2023,23,8.239253998,province
17/12/2023,23,8.513430595,province
24/12/2023,23,8.244247437,province
31/12/2023,23,7.579800129,province
07/01/2024,,15.11902602,province
