Date,Actual,Predicted,Province
09/07/2023,6.571428571,0.090879433,province
16/07/2023,7,1.512845874,province
23/07/2023,7,5.011106491,province
30/07/2023,9.142857143,5.289106846,province
06/08/2023,12,5.70729208,province
13/08/2023,12,6.365147591,province
20/08/2023,7.714285714,9.909720421,province
27/08/2023,5,10.6144228,province
03/09/2023,5,10.77122498,province
10/09/2023,5,10.38551521,province
17/09/2023,0.714285714,13.73717785,province
24/09/2023,0,17.81967163,province
01/10/2023,0,21.17213821,province
08/10/2023,0,18.98459053,province
15/10/2023,0,19.27239799,province
22/10/2023,0,23.46340561,province
29/10/2023,0,25.35103798,province
05/11/2023,0,23.63979149,province
12/11/2023,0,19.54816437,province
19/11/2023,0,18.93219948,province
26/11/2023,0,20.81965446,province
03/12/2023,0,22.49245453,province
10/12/2023,0,21.1353302,province
17/12/2023,0,19.30518913,province
24/12/2023,0,18.27257347,province
31/12/2023,0,20.02956581,province
07/01/2024,,31.7656303,province
