Date,Actual,Predicted,Province
2023-07-09,95.428571425,1.532867670059204,Central Luzon
2023-07-16,98.285714281,6.501694016158581,Central Luzon
2023-07-23,87.000000004,22.198873698711395,Central Luzon
2023-07-30,82.428571423,23.341557443141937,Central Luzon
2023-08-06,122.14285714,22.02342265844345,Central Luzon
2023-08-13,119.000000004,23.28994655609131,Central Luzon
2023-08-20,98.428571431,40.094255208969116,Central Luzon
2023-08-27,79.28571429,44.2121307849884,Central Luzon
2023-09-03,69.0,42.425498485565186,Central Luzon
2023-09-10,70.42857143,39.31261420249939,Central Luzon
2023-09-17,104.85714286,48.26197004318237,Central Luzon
2023-09-24,87.285714286,57.147326946258545,Central Luzon
2023-10-01,95.42857143,66.23938751220703,Central Luzon
2023-10-08,97.71428571,59.41113829612732,Central Luzon
2023-10-15,99.0,57.261351585388184,Central Luzon
2023-10-22,97.28571429,71.50846862792969,Central Luzon
2023-10-29,82.0,79.6831226348877,Central Luzon
2023-11-05,99.0,77.90112018585205,Central Luzon
2023-11-12,103.142857138,62.957950592041016,Central Luzon
2023-11-19,104.571428576,59.16371393203735,Central Luzon
2023-11-26,101.0,61.252511978149414,Central Luzon
2023-12-03,111.0,67.04075825214386,Central Luzon
2023-12-10,111.0,64.06134915351868,Central Luzon
2023-12-17,48.428571429,62.11477982997894,Central Luzon
2023-12-24,36.571428571,56.592084646224976,Central Luzon
2023-12-31,33.0,59.48393678665161,Central Luzon
