Date,Actual,Predicted,Province
09/07/2023,3,0,province
16/07/2023,3,0.06196361,province
23/07/2023,3,2.511596918,province
30/07/2023,3,2.862857103,province
06/08/2023,3,2.468218327,province
13/08/2023,3,2.39353013,province
20/08/2023,0,4.67444706,province
27/08/2023,0,5.241823673,province
03/09/2023,0,5.262683392,province
10/09/2023,0,4.445716858,province
17/09/2023,0,5.776081562,province
24/09/2023,0,7.344741344,province
01/10/2023,0,9.867733002,province
08/10/2023,0,8.549180031,province
15/10/2023,0,7.567216873,province
22/10/2023,0,10.56573009,province
29/10/2023,0,11.7927866,province
05/11/2023,0,11.32335186,province
12/11/2023,3.571428571,8.50712204,province
19/11/2023,5,8.814238548,province
26/11/2023,5,10.4234314,province
03/12/2023,5,13.26497841,province
10/12/2023,5,12.49547672,province
17/12/2023,5,11.6907196,province
24/12/2023,3.571428571,10.34598446,province
31/12/2023,0,11.5141077,province
07/01/2024,,17.17851992,province
