Date,Province,Cases,tsf,mst,rh,rfm,area,spd,sca
25/08/2019,Aurora,0,59251.85714,28.9,84,11.13778429,3147,18.82807143,47.71428571
01/09/2019,Aurora,0,58844.71429,28.71428571,84.14285714,8.49346,3147,18.69867143,110.7857143
08/09/2019,Aurora,0,58437.57143,27.77142857,86.57142857,17.5514,3147,18.56928571,234.6428571
15/09/2019,Aurora,0,58030.28571,27.84285714,86.57142857,9.642188571,3147,18.43988571,353.2142857
22/09/2019,Aurora,0,57623.14286,27.97142857,86,4.269692857,3147,18.31048571,429.6428571
29/09/2019,Aurora,0,57215.85714,27.92857143,86.42857143,7.62617,3147,18.18108571,560.6428571
06/10/2019,Aurora,0,56919.42857,27.51428571,86.71428571,3.26702,3147,18.08685714,601.6428571
13/10/2019,Aurora,0,56880,27.7,87.57142857,3.281705714,3147,18.0744,607
20/10/2019,Aurora,0,56852,27.6,87.42857143,7.67757,3147,18.0654,604.0714286
27/10/2019,Aurora,0,56823.14286,27.55714286,86.71428571,18.63377571,3147,18.05634286,493.2142857
03/11/2019,Aurora,0,56795,27.25714286,87.85714286,17.46648714,3147,18.0473,291.7142857
10/11/2019,Aurora,0,56766.28571,26.71428571,87.85714286,9.98318,3147,18.03828571,254.7142857
17/11/2019,Aurora,0,56738,26.58571429,87.42857143,9.36716,3147,18.02921429,232.5714286
24/11/2019,Aurora,0,56709.57143,26.68571429,88.28571429,15.00053714,3147,18.0202,199.1428571
01/12/2019,Aurora,2.857142857,56681,26.52857143,88.14285714,22.6486,3147,18.01115714,128
08/12/2019,Aurora,4,56652.85714,25.94285714,88.14285714,4.26729,3147,18.0021,94.71428571
15/12/2019,Aurora,4,56624,25.74285714,88.14285714,11.24512429,3147,17.99308571,90.64285714
22/12/2019,Aurora,0.571428571,56596,25.72857143,87.57142857,14.66741857,3147,17.98402857,70.71428571
29/12/2019,Aurora,0,56567.14286,25.84285714,87.42857143,3.80093,3147,17.975,61.71428571
05/01/2020,Aurora,0.428571429,56536.14286,25.25714286,86.28571429,4.415084286,3147,17.96505714,43.57142857
12/01/2020,Aurora,1,56482.42857,25.02857143,86,4.858077143,3147,17.94802857,41.21428571
